cand_id,name,age,party_id,spl_attribute_id
cand365,"ZABED ISLAM",50,AGP,365
cand366,"NURUL ISLAM CHOUDHURY",67,AITC,366
cand367,"BADRUDDIN AJMAL",63,AIUDF,367
cand368,"ALAKESH ROY",39,HND,368
cand369,"SURAT JAMAN MONDAL",64,SUCI(C),369
cand370,"ZOHIRUL ISLAM KHAN",35,PUJP,370
cand371,"NRIPEN DAS",45,BNJD,371
cand372,"MEHBUBAR RAHMAN",46,RPI(A),372
cand373,"SHAJAHAN SHEIKH",49,VPI,373
cand374,"ANAMIKA SARKAR",43,IND,374
cand375,"UTTAM KUMAR RAY",36,IND,375
cand376,"MIR HUSSAIN SARKAR",28,IND,376
cand377,"RUKUNUR ZAMAN",41,IND,377
cand378,"SHUKUR ALI",25,IND,378
cand379,"Pramila Rani Brahma",69,BOPF,379
cand380,"Biraj Deka",26,CPIM,380
cand381,"Sabda Ram Rabha",50,INC,381
cand382,"Urkhao Gwra Brahma",56,UPPL,382
cand383,"Charan Iswary",39,PUJP,383
cand384,"Rajesh Narzary",45,VPI,384
cand385,"Naba Kumar Sarania",50,IND,385
cand386,"Prasanjit Kumar Das",32,IND,386
cand387,"Ranjoy Kr. Brahma",30,IND,387
cand388,"Abdul Khaleque",44,INC,388
cand389,"Ashahak Ali Dewan",65,AITC,389
cand390,"Kumar Deepak Das",66,AGP,390
cand391,"Rafiqul Islam",44,AIUDF,391
cand392,"Aroon Barooa",62,PUJP,392
cand393,"Chitralekha Das",64,SUCI(C),393
cand394,"Saniara Parbin",29,VPI,394
cand395,"Pranabjyoti Das Rajbonshi",45,NPEP,395
cand396,"Bhadreswar Barman",45,NRCONG,396
cand397,"Matiar Rahman",35,TNRMPI,397
cand398,"Rejaul Karim",36,RPI(A),398
cand399,"Santanu Mukherjee",44,BGANP,399
cand400,"Arfan Ali",37,IND,400
cand401,"QUEEN OJA",67,BJP,401
cand402,"BOBBEETA SHARMA",52,INC,402
cand403,"MANOJ SHARMA",45,AITC,403
cand404,"AVIJIT CHAKRABORTY",49,BGANP,404
cand405,"SADEK ALI",48,RPI(A),405
cand406,"PANKAJ DAS",48,SWABP,406
cand407,"PARTHA PRATIM BARUAH",30,VPI,407
cand408,"MAMONI SARMA",55,PUJP,408
cand409,"RAJIB KAKATI",46,HND,409
cand410,"RATUL KUMAR CHOUDHURY",47,SP,410
cand411,"RUBI NEOG",40,NRCONG,411
cand412,"ALIMUDDIN AHMED",47,IND,412
cand413,"UPAMANYU HAZARIKA",53,IND,413
cand414,"UTPAL BORGOHAIN",52,IND,414
cand415,"JUNMONI DEVI KHAUND",43,IND,415
cand416,"FARUK AHMED BHUYAN",40,IND,416
cand417,"SHANKHA SINHA",46,IND,417
cand418,"DILIP SAIKIA",45,BJP,418
cand419,"BHUBANESWAR KALITA",67,INC,419
cand420,"SUDHENDU MOHAN TALUKDAR",43,AITC,420
cand421,"AINUL HAQUE",36,AJM,421
cand422,"GANDHESHWAR MOCHAHARI",47,VPI,422
cand423,"BIREN BASAK",44,BGANP,423
cand424,"MANI RAM BASUMATARY",41,HND,424
cand425,"SWARNALATA CHALIHA",44,SUCI(C),425
cand426,"KAZI NEKIB AHMED",60,IND,426
cand427,"JAYANTA KUMAR KALITA",41,IND,427
cand428,"PRODEEP KUMAR DAIMARY",55,IND,428
cand429,"PALLAB LOCHAN DAS",41,BJP,429
cand430,"M.G.V.K. BHANU",60,INC,430
cand431,"MAHENDRA BHUYAN",67,NCP,431
