Candidate,Party,Status,State,Constituency
GEJJA RAM, Bharatiya Janata Party, Accepted, Punjab, Fatehgarh Sahib
SUDAMA PRASAD, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Arrah
VIJAY KUMAR HANSDAK, Jharkhand Mukti Morcha, Accepted, Jharkhand, Rajmahal
KARAMJIT SINGH ANMOL, Aam Aadmi Party, Accepted, Punjab, Faridkot
PARAMJIT SINGH, Independent, Accepted, Punjab, Patiala
ATANU DAS, Independent, Accepted, West Bengal, Kolkata Dakshin
PRATIMA DEVI, Independent, Accepted, Bihar, Karakat
HAKAM BAKHTARIWALA, Independent, Accepted, Punjab, Sangrur
CHAMKAUR SINGH, Independent, Accepted, Punjab, Firozpur
CHHOTELAL, Samajwadi Party, Accepted, Uttar Pradesh, Robertsganj
BHUPINDER SINGH, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Ludhiana
SMT. RINKU GUPTA, Pyramid Party of India, Accepted, West Bengal, Kolkata Uttar
BALWINDER KUMAR, Bahujan Samaj Party, Accepted, Punjab, Jalandhar
YOG RAJ SAHOTA, Revolutionary Socialist Party, Accepted, Punjab, Anandpur Sahib
SHER SINGH, Yuga Thulasi Party, Accepted, Uttar Pradesh, Chandauli
NARESH KUMAR, Independent, Accepted, Bihar, Jahanabad
SADHAN GHOSH, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Barasat
VIRSA SINGH VALTOHA, Shiromani Akali Dal, Accepted, Punjab, Khadoor Sahib
KHUSHBOO KUMARI, Akhil Bhartiya Parivar Party, Accepted, Bihar, Patliputra
SWAPAN MAJUMDAR, Independent, Accepted, West Bengal, Barasat
SARMISTHA SETHI, Biju Janata Dal, Accepted, Odisha, Jajpur
GURINDER SINGH, Independent, Accepted, Punjab, Amritsar
KEHAR SINGH, Independent, Accepted, Himachal Pradesh, KANGRA
RAJ KUMAR, Bahujan Samaj Party, Accepted, Punjab, Gurdaspur
SUKHVINDER SINGH, Independent, Accepted, Punjab, Patiala
SANJIB CHATTERJEE, All India Forward Bloc, Accepted, West Bengal, Barasat
NUSRAT ANSARI, Independent, Accepted, Uttar Pradesh, Ghazipur
SARMISTHA SETHI, Biju Janata Dal, Accepted, Odisha, Jajpur
SARMISTHA SETHI, Biju Janata Dal, Accepted, Odisha, Jajpur
DILBAGH SINGH, All India Mazdoor Party (Rangreta), Accepted, Punjab, Khadoor Sahib
SANJIB CHATTERJEE, All India Forward Bloc, Accepted, West Bengal, Barasat
RAVI KANT SINGH URF RAVI PATEL, Sardar Patel Siddhant Party, Accepted, Uttar Pradesh, Ballia
SARMISTHA SETHI, Biju Janata Dal, Accepted, Odisha, Jajpur
SANJIB CHATTERJEE, All India Forward Bloc, Accepted, West Bengal, Barasat
SIDHARTH SWARUP DASH, Indian National Congress, Accepted, Odisha, Kendrapara
PIYUSH SINGH, Shoshit Samaj Dal, Accepted, Bihar, Jahanabad
SIDHARTH SWARUP DASH, Indian National Congress, Accepted, Odisha, Kendrapara
KAMALJIT SINGH, Independent, Accepted, Punjab, Ludhiana
KAKOLI GHOSH DASTIDAR, All India Trinamool Congress, Accepted, West Bengal, Barasat
SIDHARTH SWARUP DASH, Indian National Congress, Accepted, Odisha, Kendrapara
RANGI KHAN, Aam Janata Party, Accepted, Punjab, Sangrur
SIDHARTH SWARUP DASH, Indian National Congress, Accepted, Odisha, Kendrapara
SUDHANSHU, Independent, Accepted, Uttar Pradesh, Gorakhpur
KAKOLI GHOSH DASTIDAR, All India Trinamool Congress, Accepted, West Bengal, Barasat
SHAM LAL GANDHIWADI, Independent, Accepted, Punjab, Amritsar
KAKOLI GHOSH DASTIDAR, All India Trinamool Congress, Accepted, West Bengal, Barasat
YASMIN ISLAM, Social Democratic Party Of India, Accepted, West Bengal, Kolkata Dakshin
BIKASH SARKAR, Mulnibasi Party of India, Accepted, West Bengal, Barasat
RANJIT KUMAR MANDAL, Independent, Accepted, West Bengal, Jadavpur
RAJ KUMAR, Aam Aadmi Party, Accepted, Punjab, Hoshiarpur
MOHINDER PAL SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Patiala
AVADHESH VERMA, Independent, Accepted, Uttar Pradesh, Ballia
GHANSHYAM PRASAD SINGH, Independent, Accepted, Bihar, Nalanda
SEKHA SADIKA HOSEN, Bahujan Samaj Party, Accepted, Odisha, Kendrapara
KUMAR HARI CHARAN SINGH YADAV, Bharatiya Momin Front, Accepted, Bihar, Nalanda
SEKHA SADIKA HOSEN, Bahujan Samaj Party, Accepted, Odisha, Kendrapara
SILBHADRA DATTA, Bharatiya Janata Party, Accepted, West Bengal, Dum dum
RAJINDER GHAI, Independent, Accepted, Punjab, Ludhiana
KAPIL CHAUHAN, Jan Janwadi Party, Accepted, Bihar, Jahanabad
JASVIR SINGH GARHI, Bahujan Samaj Party, Accepted, Punjab, Anandpur Sahib
RAJKUMAR PALIT, Mission Naya Digant Bharat, Accepted, West Bengal, Kolkata Uttar
BALJINDER SINGH, Independent, Accepted, Punjab, Gurdaspur
NITESH KUMAR, Adarsh Jankalyan Dal, Accepted, Bihar, Patliputra
AJEET KUMAR, Independent, Accepted, Bihar, Nalanda
DULU DEY, Independent, Accepted, West Bengal, Dum dum
JATINDER KUMAR SHARMA, Bhartiya Rashtriya Dal, Accepted, Punjab, Gurdaspur
PARAMJIT KAUR TEJI, Independent, Accepted, Punjab, Jalandhar
AFZAL ANSARI, Samajwadi Party, Accepted, Uttar Pradesh, Ghazipur
KIRPAL SINGH, Independent, Accepted, Punjab, Ludhiana
SURENDER SINGH, Independent, Accepted, Bihar, Nalanda
SILBHADRA DATTA, Bharatiya Janata Party, Accepted, West Bengal, Dum dum
PREM LAL, Democratic Bharatiya Samaj Party, Accepted, Punjab, Faridkot
ANURAG SINGH THAKUR, Bharatiya Janata Party, Accepted, Himachal Pradesh, HAMIRPUR
BINOY KRISHNA CHATTERJEE, Independent, Accepted, West Bengal, Kolkata Uttar
ANURAG SINGH THAKUR, Bharatiya Janata Party, Accepted, Himachal Pradesh, HAMIRPUR
AFZAL ANSARI, Samajwadi Party, Accepted, Uttar Pradesh, Ghazipur
BINOY KRISHNA CHATTERJEE, Independent, Accepted, West Bengal, Kolkata Uttar
ANURAG SINGH THAKUR, Bharatiya Janata Party, Accepted, Himachal Pradesh, HAMIRPUR
AVIMANYU SETHI, Bharatiya Janata Party, Accepted, Odisha, Bhadrak
RESHAM SINGH, Independent, Accepted, Punjab, Amritsar
ANURAG SINGH THAKUR, Bharatiya Janata Party, Accepted, Himachal Pradesh, HAMIRPUR
NIRAJ AGARWAL, Independent, Accepted, West Bengal, Kolkata Dakshin
RAJ KUMAR, Peoples Party of India (Democratic), Accepted, Punjab, Jalandhar
AVIMANYU SETHI, Bharatiya Janata Party, Accepted, Odisha, Bhadrak
SHIVSHANKAR, Bhagidari Party(P), Accepted, Uttar Pradesh, Gorakhpur
PRATIMA MONDAL, Independent, Accepted, West Bengal, Joynagar
DARBARA SINGH, Nationalist Justice Party, Accepted, Punjab, Gurdaspur
REKHA RANI, Bahujan Samaj Party, Accepted, Himachal Pradesh, KANGRA
RAJA RAM SINGH, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Karakat
RANJIT SINGH, Shiromani Akali Dal, Accepted, Punjab, Ludhiana
ARVIND KHANNA, Bharatiya Janata Party, Accepted, Punjab, Sangrur
HARWINDER KARWAL, Independent, Accepted, Punjab, Anandpur Sahib
REKHA RANI, Bahujan Samaj Party, Accepted, Himachal Pradesh, KANGRA
SANJAY RAJESH, Karpoori Janta Dal, Accepted, Bihar, Nalanda
DR. PALWINDER KAUR, Independent, Accepted, Punjab, Ludhiana
RAMESH LAL, National Republic Party Of India, Accepted, Punjab, Gurdaspur
SANJAY RAJESH, Karpoori Janta Dal, Accepted, Bihar, Nalanda
PARKASH PETER, Independent, Accepted, Punjab, Fatehgarh Sahib
UJARAN MUSHAR, Jan Janwadi Party, Accepted, Bihar, Sasaram
RANJIT KUMAR, Bahujan Samaj Party, Accepted, Punjab, Hoshiarpur
PINTU SAHANI, Independent, Accepted, Uttar Pradesh, Gorakhpur
SWAPAN DAS, Independent, Accepted, West Bengal, Kolkata Uttar
REKHA RANI, Bahujan Samaj Party, Accepted, Himachal Pradesh, KANGRA
MEGHNATH HALDER, All India Secular Front, Accepted, West Bengal, Joynagar
SUSHIL KUMAR, Bharatiya Janata Party, Accepted, Punjab, Jalandhar
SHIV KUMAR SINGH, Apna Kisan Party, Accepted, Bihar, Patliputra
ARUN KUMAR, Independent, Accepted, Bihar, Jahanabad
HARJINDER PAL, Independent, Accepted, Punjab, Amritsar
S MUKHTAR AHMED, Independent, Accepted, West Bengal, Barasat
RANJIT SINGH, Akhil Bhartiya Parivar Party, Accepted, Punjab, Patiala
SHIV KUMAR SINGH, Apna Kisan Party, Accepted, Bihar, Patliputra
SIMRANDEEP SINGH, Independent, Accepted, Punjab, Ludhiana
HARSIMRAT KAUR, Shiromani Akali Dal, Accepted, Punjab, Bathinda
SILBHADRA DATTA, Bharatiya Janata Party, Accepted, West Bengal, Dum dum
DALJIT SINGH CHEEMA, Shiromani Akali Dal, Accepted, Punjab, Gurdaspur
AMAL KUMAR DEY, Independent, Accepted, West Bengal, Kolkata Uttar
DALJIT SINGH CHEEMA, Shiromani Akali Dal, Accepted, Punjab, Gurdaspur
BIKASH SARKAR, Mulnibasi Party of India, Accepted, West Bengal, Barasat
JURAN CHANDRA PANDEY, Mulnibasi Party of India, Accepted, West Bengal, Joynagar
MAKHAN SINGH, Independent, Accepted, Punjab, Patiala
VIJAY INDER SINGLA, Indian National Congress, Accepted, Punjab, Anandpur Sahib
MANMOHAN SINGH, Rashtrawadi Janlok Party (Satya), Accepted, Bihar, Arrah
AMAL KUMAR DEY, Independent, Accepted, West Bengal, Kolkata Uttar
AVTAR SINGH SAHOTA, Independent, Accepted, Punjab, Faridkot
KAWALJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
ANJAN DAS, Ambedkarite Party of India, Accepted, Odisha, Bhadrak
ASHOK KUMAR, Independent, Accepted, Punjab, Jalandhar
VIRENDRA SINGH, Samajwadi Party, Accepted, Uttar Pradesh, Chandauli
PRITHVI PAL, Independent, Accepted, Punjab, Amritsar
SHER SINGH, Indian National Congress, Accepted, Punjab, Firozpur
HARSIMRAT KAUR, Shiromani Akali Dal, Accepted, Punjab, Bathinda
SOHAN SINGH, Shiromani Akali Dal, Accepted, Punjab, Hoshiarpur
AMRINDER SINGH RAJA WARRING, Indian National Congress, Accepted, Punjab, Ludhiana
JODH SINGH PARMAR, Independent, Accepted, Punjab, Patiala
DALJIT SINGH CHEEMA, Shiromani Akali Dal, Accepted, Punjab, Gurdaspur
SANKAR DAS, Independent, Accepted, Odisha, Jagatsinghpur
NABA CHARAN MAJHI, Bharatiya Janata Party, Accepted, Odisha, Mayurbhanj
SANDEEP KAUR KHALSA, Independent, Accepted, Punjab, Faridkot
SANJAY SINGH RANA, Bhartiya Sarvdharm Party, Accepted, Uttar Pradesh, Gorakhpur
PIAR CHAND, Independent, Accepted, Chandigarh, Chandigarh
NARINDER KUMAR SHARMA, Shiromani Akali Dal, Accepted, Punjab, Patiala
NIRBHAY YADAV, Independent, Accepted, Bihar, Buxar
PARSHOTAM LAL, Communist Party of India  (Marxist), Accepted, Punjab, Jalandhar
SANJEEV KUMAR, Independent, Accepted, Punjab, Ludhiana
PUJA DEVI, Independent, Accepted, Bihar, Nalanda
DILBAGH SINGH, Independent, Accepted, Punjab, Amritsar
ASHUTOSH KUMAR, Rashtriya Jan Jan Party, Accepted, Bihar, Jahanabad
SHER SINGH, Indian National Congress, Accepted, Punjab, Firozpur
RULDA SINGH, Independent, Accepted, Punjab, Fatehgarh Sahib
DURGESH NANDAN SINGH, Independent, Accepted, Bihar, Patliputra
JAGDEEP KUMAR, Rashtriya Devbhumi Party, Accepted, Himachal Pradesh, HAMIRPUR
SANJAY SINGH RANA, Bhartiya Sarvdharm Party, Accepted, Uttar Pradesh, Gorakhpur
AMIT KUMAR AMBEDKAR, Bahujan Mukti Party, Accepted, Bihar, Sasaram
IQBAL SINGH JHUNDAN, Shiromani Akali Dal, Accepted, Punjab, Sangrur
ASHOK KUMAR SING, Independent, Accepted, Odisha, Mayurbhanj
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
SATBIR SINGH, Independent, Accepted, Punjab, Amritsar
KAJAL NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Gorakhpur
IMRAN ALI SARDAR, Bharatheeya Jawan Kisan Party, Accepted, West Bengal, Basirhat
SURINDER SINGH, Independent, Accepted, Punjab, Gurdaspur
NAND KISHOR PARASAD, Pragatisheel Magahi Samaj, Accepted, Bihar, Nalanda
BALDEV SINGH GAGRA, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Faridkot
IQBAL SINGH JHUNDAN, Shiromani Akali Dal, Accepted, Punjab, Sangrur
RANJAN KUMAR, Independent, Accepted, Bihar, Patliputra
MANDEEP SINGH, Revolutionary Socialist Party, Accepted, Punjab, Patiala
AMANDEEP SINGH, Independent, Accepted, Punjab, Bathinda
MAHESWAR DAS, Socialist Unity Centre Of India (COMMUNIST), Accepted, Odisha, Jagatsinghpur
JASPAL MASIH, Independent, Accepted, Punjab, Amritsar
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
HARDEEP SINGH, Nationalist Justice Party, Accepted, Punjab, Hoshiarpur
ADITYA SHRIVASTAV, Yuga Thulasi Party, Accepted, Uttar Pradesh, Ghazipur
PRITPAL SINGH, Bahujan Dravida Party, Accepted, Punjab, Ludhiana
LAL BAAD SHAH SINGH, Bahujan Samaj Party, Accepted, Bihar, Arrah
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
PARAMPAL KAUR SIDHU, Bharatiya Janata Party, Accepted, Punjab, Bathinda
MIRAZ MOLLA, Independent, Accepted, West Bengal, Basirhat
PARAMPAL KAUR SIDHU, Bharatiya Janata Party, Accepted, Punjab, Bathinda
SUKHDEV SINGH, Independent, Accepted, Punjab, Firozpur
BAJUN HANSDA, Independent, Accepted, Odisha, Mayurbhanj
AMARJIT KAUR SAHOKE, Indian National Congress, Accepted, Punjab, Faridkot
GULSHAN KUMAR, Democratic Bharatiya Samaj Party, Accepted, Punjab, Jalandhar
RENU BALA, Independent, Accepted, Punjab, Amritsar
BIKRAMJIT SINGH, Shiromani Akali Dal, Accepted, Punjab, Fatehgarh Sahib
BHANUMATI DAS, Utkal Samaj, Accepted, Odisha, Jagatsinghpur
SAHIB SINGH, Independent, Accepted, Punjab, Amritsar
AKHTAR RAHAMAN BISWAS, All India Secular Front, Accepted, West Bengal, Basirhat
ASHOK PRASHAR, Aam Aadmi Party, Accepted, Punjab, Ludhiana
KULBIR SINGH ZIRA, Indian National Congress, Accepted, Punjab, Khadoor Sahib
SEFALI DEY, Bharatiya Nyay-Adhikar Raksha Party, Accepted, West Bengal, Barasat
DR. RAJASHREE MALLICK, Biju Janata Dal, Accepted, Odisha, Jagatsinghpur
MOHINDER SINGH KAYPEE, Shiromani Akali Dal, Accepted, Punjab, Jalandhar
MAFIJUL MOLLA, Independent, Accepted, West Bengal, Basirhat
VIJAY SYAL, Independent, Accepted, Punjab, Sangrur
JAGDISH MASIH, Independent, Accepted, Punjab, Gurdaspur
SURINDER KAMBOJ, Bahujan Samaj Party, Accepted, Punjab, Firozpur
ABHIJIT DAS (BOBBY), Bharatiya Janata Party, Accepted, West Bengal, Diamond harbour
MANJIT KAUR, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Faridkot
DR. RAJASHREE MALLICK, Biju Janata Dal, Accepted, Odisha, Jagatsinghpur
ABHIJIT DAS (BOBBY), Bharatiya Janata Party, Accepted, West Bengal, Diamond harbour
HARIKESHWAR RAM, Bahujan Samaj Party, Accepted, Bihar, Patliputra
AJAY, Indian National Congress, Accepted, Uttar Pradesh, Varanasi
HARIKESHWAR RAM, Bahujan Samaj Party, Accepted, Bihar, Patliputra
MALVINDER SINGH KANG, Aam Aadmi Party, Accepted, Punjab, Anandpur Sahib
MALVINDER SINGH KANG, Aam Aadmi Party, Accepted, Punjab, Anandpur Sahib
AJAY, Indian National Congress, Accepted, Uttar Pradesh, Varanasi
DR. RAJASHREE MALLICK, Biju Janata Dal, Accepted, Odisha, Jagatsinghpur
R K SINGH, Bharatiya Janata Party, Accepted, Bihar, Arrah
SANYUKTA KUMARI, Independent, Accepted, Bihar, Nalanda
JATIA SAWAYAN, Bahujan Samaj Party, Accepted, Odisha, Mayurbhanj
ROLI, Akhil Bhartiya Hamara Samaj Party, Accepted, Uttar Pradesh, Ghosi
KULDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Amritsar
PALA RAM, Independent, Accepted, Punjab, Bathinda
DEEPAK KUMAR, Independent, Accepted, Punjab, Firozpur
LOBIN HEMBRAM, Independent, Accepted, Jharkhand, Rajmahal
SANTILATA CHATTAR, Independent, Accepted, Odisha, Mayurbhanj
SURENDRA PRASAD, Al-Hind Party, Accepted, Bihar, Nalanda
LOBIN HEMBRAM, Independent, Accepted, Jharkhand, Rajmahal
ROLI, Akhil Bhartiya Hamara Samaj Party, Accepted, Uttar Pradesh, Ghosi
RABINDRA KUMAR SETHY, Indian National Congress, Accepted, Odisha, Jagatsinghpur
SHAMBHU PRASAD SHARMA, Hindustan Vikas Dal, Accepted, Bihar, Patliputra
RITU SINGH, Bahujan Samaj Party, Accepted, Chandigarh, Chandigarh
HARPREET SINGH, Independent, Accepted, Punjab, Firozpur
ANJANI SOREN, Jharkhand Mukti Morcha, Accepted, Odisha, Mayurbhanj
I.S.GULATI, Independent, Accepted, Punjab, Gurdaspur
PRIYANKA PRASAD, All India Majlis-E-Ittehadul Muslimeen, Accepted, Bihar, Karakat
ANANTA PRASAD SETHI, Indian National Congress, Accepted, Odisha, Bhadrak
MO MAUSME ALAM, Bahujan Samaj Party, Accepted, Uttar Pradesh, Maharajganj
HARGOBIND SINGH, Independent, Accepted, Punjab, Fatehgarh Sahib
ANJANI SOREN, Jharkhand Mukti Morcha, Accepted, Odisha, Mayurbhanj
VINOD SULTANPURI, Indian National Congress, Accepted, Himachal Pradesh, SHIMLA
ANJANI SOREN, Jharkhand Mukti Morcha, Accepted, Odisha, Mayurbhanj
BADRI NATH, Independent, Accepted, Uttar Pradesh, Ghosi
BIBHU PRASAD TARAI, Bharatiya Janata Party, Accepted, Odisha, Jagatsinghpur
BADRI NATH, Independent, Accepted, Uttar Pradesh, Ghosi
JAGDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Firozpur
AJEET KUMAR SINGH, Peoples Party of India (Democratic), Accepted, Bihar, Karakat
MEJOR SINGH BHATTI, Jan Sewa Driver Party, Accepted, Punjab, Faridkot
JAGDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Firozpur
VINDU DEVI, Rashtriya Jansambhavna Party, Accepted, Bihar, Patliputra
ASHOK PRASHAR, Aam Aadmi Party, Accepted, Punjab, Ludhiana
VINDU DEVI, Rashtriya Jansambhavna Party, Accepted, Bihar, Patliputra
SHRVAN KUMAR NIRALA, Independent, Accepted, Uttar Pradesh, Bansgaon
VIKASH VINAYAK, Jan Janwadi Party, Accepted, Bihar, Karakat
MO MAUSME ALAM, Bahujan Samaj Party, Accepted, Uttar Pradesh, Maharajganj
SATPAL, Independent, Accepted, Punjab, Anandpur Sahib
RAJESHWAR PASWAN, Akhil Hind Forward Bloc (Krantikari), Accepted, Bihar, Karakat
ANITA, Bharatiya Janata Party, Accepted, Punjab, Hoshiarpur
ANOKH SINGH, Independent, Accepted, Punjab, Khadoor Sahib
AMANSHER SINGH, Aam Aadmi Party, Accepted, Punjab, Gurdaspur
ANANTA PRASAD SETHI, Indian National Congress, Accepted, Odisha, Bhadrak
VIRENDRA, Rashtriya Jantantrik Bharat Vikas Party, Accepted, Uttar Pradesh, Ghosi
NUR ALAM KHAN, All India Secular Front, Accepted, West Bengal, Jadavpur
ANITA, Bharatiya Janata Party, Accepted, Punjab, Hoshiarpur
RAMJI SINGH, Voters Party  International, Accepted, Bihar, Arrah
ANUPRIYA SINGH PATEL, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Mirzapur
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
SURESH KUMAR KASHYAP, Bharatiya Janata Party, Accepted, Himachal Pradesh, SHIMLA
ANUPRIYA SINGH PATEL, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Mirzapur
YAKUB ANSARI, Peace Party, Accepted, Uttar Pradesh, Ghosi
RAMESH CHANDRA SETHY, Communist Party of India, Accepted, Odisha, Jagatsinghpur
KULDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Amritsar
ASHOK PRASHAR, Aam Aadmi Party, Accepted, Punjab, Ludhiana
KULDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Amritsar
AJAY, Indian National Congress, Accepted, Uttar Pradesh, Varanasi
KULDEEP SINGH, Aam Aadmi Party, Accepted, Punjab, Amritsar
SURESH KUMAR KASHYAP, Bharatiya Janata Party, Accepted, Himachal Pradesh, SHIMLA
SANJEEV GULERIA, All India Forward Bloc, Accepted, Himachal Pradesh, KANGRA
SURESH KUMAR KASHYAP, Bharatiya Janata Party, Accepted, Himachal Pradesh, SHIMLA
RAJENDRA RAM, Independent, Accepted, Uttar Pradesh, Ghosi
SIMRANJIT SINGH MANN, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Sangrur
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
MISHA BHARTI, Rashtriya Janata Dal, Accepted, Bihar, Patliputra
GURMIT SINGH SODHI, Bharatiya Janata Party, Accepted, Punjab, Firozpur
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
SURESH KUMAR KASHYAP, Bharatiya Janata Party, Accepted, Himachal Pradesh, SHIMLA
ASHOK PRASHAR, Aam Aadmi Party, Accepted, Punjab, Ludhiana
HANISH SHARMA, Ekam Sanatan Bharat Dal, Accepted, Punjab, Anandpur Sahib
DEEPAK SHARMA, Independent, Accepted, Punjab, Anandpur Sahib
GURMIT SINGH SODHI, Bharatiya Janata Party, Accepted, Punjab, Firozpur
BALARAM MANDAL, Independent, Accepted, West Bengal, Jadavpur
RAJESH, Independent, Accepted, Uttar Pradesh, Mirzapur
SATNAM SINGH, Bahujan Samaj Party, Accepted, Punjab, Khadoor Sahib
VINOD KUMAR MANDAL, Lokhit Adhikar Party, Accepted, Jharkhand, Rajmahal
MEGH RAJ, Independent, Accepted, Punjab, Anandpur Sahib
MISHA BHARTI, Rashtriya Janata Dal, Accepted, Bihar, Patliputra
SANJAY KUMAR SINHA, Jai Hind National Party, Accepted, Uttar Pradesh, Chandauli
SATISH CHAND, Samajhdar Party, Accepted, Uttar Pradesh, Ghosi
MISHA BHARTI, Rashtriya Janata Dal, Accepted, Bihar, Patliputra
GURPREET SINGH, Independent, Accepted, Punjab, Firozpur
LALJIT SINGH BHULLAR, Aam Aadmi Party, Accepted, Punjab, Khadoor Sahib
MANOJ KUMAR, Indian National Congress, Accepted, Bihar, Sasaram
PRENEET KAUR, Bharatiya Janata Party, Accepted, Punjab, Patiala
GEETINDER KAUR KAHLON, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Sangrur
MOHAMMAD SHAHID ALAM, Jantantra Awaj Party, Accepted, Bihar, Patna Sahib
MISHA BHARTI, Rashtriya Janata Dal, Accepted, Bihar, Patliputra
AMANSHER SINGH, Aam Aadmi Party, Accepted, Punjab, Gurdaspur
MITHILESH KUMAR TIWARY, Bharatiya Janata Party, Accepted, Bihar, Buxar
SURJIT SINGH, Independent, Accepted, Punjab, Gurdaspur
LAKHVIR SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Bathinda
SANJAY KUMAR SINHA, Jai Hind National Party, Accepted, Uttar Pradesh, Chandauli
MITHILESH KUMAR TIWARY, Bharatiya Janata Party, Accepted, Bihar, Buxar
LAKHVIR SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Bathinda
KHALIFA KISKU, Peoples Party of India (Democratic), Accepted, Jharkhand, Rajmahal
MANJIT SINGH MANNA, Bharatiya Janata Party, Accepted, Punjab, Khadoor Sahib
PRITAM SINGH, Independent, Accepted, Punjab, Firozpur
SHASHI RANJAN SUMAN, Independent, Accepted, Bihar, Nalanda
ISHWAR DAYAL, Bhartiya Sabka Dal, Accepted, Uttar Pradesh, Ghosi
MAJNU LASKAR, All India Secular Front, Accepted, West Bengal, Diamond harbour
BINOD KUMAR JENA, Gana Suraksha Party, Accepted, Odisha, Jajpur
SUDHIR DAS, Independent, Accepted, Bihar, Nalanda
RAMNIVAS GOND, Gondvana Gantantra Party, Accepted, Uttar Pradesh, Ballia
BRIJESH, Abhay Samaj Party, Accepted, Uttar Pradesh, Maharajganj
VISHAL SIDHU, Bahujan Samaj Party, Accepted, Punjab, Amritsar
CHANDRACHUR GOSWAMI, Independent, Accepted, West Bengal, Jadavpur
AMANSHER SINGH, Aam Aadmi Party, Accepted, Punjab, Gurdaspur
JASWANT SINGH, Independent, Accepted, Punjab, Sangrur
KHALIFA KISKU, Peoples Party of India (Democratic), Accepted, Jharkhand, Rajmahal
KANWALJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
LALJIT SINGH BHULLAR, Aam Aadmi Party, Accepted, Punjab, Khadoor Sahib
BRIJESH, Abhay Samaj Party, Accepted, Uttar Pradesh, Maharajganj
BADRI NATH, Independent, Accepted, Uttar Pradesh, Ghosi
SANATAN PANDEY, Samajwadi Party, Accepted, Uttar Pradesh, Ballia
